"No.","Time","Source","Destination","Protocol","Length","Info"
"395","837.505228","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"396","838.723924","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"397","842.083911","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"398","843.473473","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"400","846.616446","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"402","847.814530","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"403","851.245357","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"404","852.712402","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"406","856.046086","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"408","857.716911","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"409","860.866323","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"410","862.547178","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"412","865.484628","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"413","867.033307","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"415","870.486796","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"416","871.979785","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"418","875.218612","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"419","876.759900","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"422","879.620395","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"423","881.509651","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"425","884.546050","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"427","885.769037","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"429","888.833738","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"430","890.766758","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"431","893.651440","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"433","895.518597","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"435","897.913523","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"436","899.811592","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"437","902.481832","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"438","904.245628","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"440","907.227067","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"442","908.742918","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"443","911.745984","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"444","913.721720","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"446","916.283964","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"448","918.171635","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"449","920.652240","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"450","922.724182","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"452","925.522493","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
