"No.","Time","Source","Destination","Protocol","Length","Info"
"80","94.822371","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"81","96.326377","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"82","98.273996","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"83","99.526191","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"84","100.573439","c4:01:3a:44:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","370","Device ID: R2  Port ID: FastEthernet0/0  "
"85","100.753501","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"86","100.924899","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"87","103.202535","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"88","103.851292","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"89","105.294349","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"90","108.039166","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"91","108.521771","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"92","109.795515","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"93","110.943270","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"94","112.307636","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"95","112.967611","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"96","114.529670","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"97","117.164179","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"98","117.880814","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"99","119.455033","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"100","120.956107","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"101","121.749944","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"102","122.702444","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"103","123.870230","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"104","126.723393","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"105","127.205623","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"106","128.623097","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"107","130.963216","c4:00:3a:44:00:00","c4:00:3a:44:00:00","LOOP","60","Reply"
"108","131.000162","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"109","131.374288","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","100","Hello"
"110","132.191053","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"111","132.197103","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","100","Hello"
"112","132.199210","fe80::c600:3aff:fe44:0","fe80::c601:3aff:fe44:0","EIGRP","74","Update"
"113","132.199288","fe80::c602:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
"114","132.207361","fe80::c600:3aff:fe44:0","ff02::a","EIGRP","100","Hello"
"115","132.207404","fe80::c601:3aff:fe44:0","ff02::a","EIGRP","94","Hello"
